filter,catalog_id,bp_rp,in_range,ct_ok,ct_corr,scatter_pre,scatter_post
Rc,458435983029377152,0.6390390396118164,True,True,-0.0006388317803963968,0.023708792061174256,0.023866780768782913
Rc,458342112224888064,0.2694149017333984,True,True,0.00910067662233569,0.019787290420988497,0.019787290420988497
Rc,458409869627124736,0.6317653656005859,True,True,-0.00044717219464062157,0.021106813158242498,0.021106813158242498
Rc,458412274808691712,0.6407241821289062,True,True,-0.0006832348862087025,0.01977952160216741,0.019779498676698506
Rc,458374857056235520,0.7501058578491211,True,True,-0.0035654161092660832,0.023455180154085542,0.023455180154085542
Rc,458588883863778944,0.5028400421142578,True,True,0.002949979513652514,,
Rc,458408804475281024,0.729090690612793,True,True,-0.0030116714348575,0.02391971510864574,0.02427757199603643
Rc,458367297913936896,0.7195148468017578,True,True,-0.0027593502206745,0.02937848777630911,0.02937848777630911
Rc,458364686573954944,0.3121652603149414,True,True,0.007974214808952428,0.0249143956200754,0.0249143956200754
Rc,458414027155398272,0.7813806533813477,True,True,-0.004389499556922422,0.01973360878160536,0.01973360878160536
Rc,458401417131679744,0.7215909957885742,True,True,-0.002814056254264421,0.025567672863581088,0.025567672863581088
Rc,458377708914487168,0.4464693069458008,True,True,0.004435335020986737,0.027386868742984485,0.027386868742984485
Rc,458374822697357696,0.5115833282470703,True,True,0.0027195959969081914,0.022702423084532124,0.022779567817886662
Rc,458368672303402112,0.5207576751708984,True,True,0.0024778541305163523,0.02952516924578818,0.02952516924578818
Rc,458537790932206720,0.8556461334228516,True,True,-0.006346377349181434,0.026106563924992027,0.026106563924992027
Rc,458371558521435904,0.4682464599609375,True,True,0.0038615122019578754,0.026246200695904207,0.026416662261925055
Rc,458566756192517504,0.4407634735107422,True,True,0.004585682379263491,0.02788853668325647,0.028410032909194482
Rc,458415916940933248,1.0364456176757812,True,True,-0.011110400895366223,0.023338623545530797,0.023338623545530797
Rc,458371695960360576,0.7609844207763672,True,True,-0.0038520636633130384,0.020756794950781237,0.020756794950781237
Rc,458455185816111872,0.5133390426635742,True,True,0.002673333338277487,0.024768701644444596,0.025851818861484105
Rc,458378224310529664,0.4008979797363281,True,True,0.005636128688921669,0.029627186959809846,0.029627186959809846
Rc,458529544595167360,1.3989143371582031,True,True,-0.020661365719767958,,
Rc,458411480228899584,0.8426370620727539,True,True,-0.006003591403292549,0.07340416065038755,0.07340416065038755
Rc,458379907937649920,0.4532489776611328,True,True,0.004256692304959753,0.025363053160178964,0.0264876190769128
Rc,458534080080531200,3.6518802642822266,False,False,0.0,0.027386146996854568,0.027386146996854568
Rc,458564522809558272,3.5643978118896484,False,False,0.0,0.05113150005356071,0.05113150005356071
Rc,458409800908027520,3.274508476257324,False,False,0.0,0.04486909502391523,0.04486909502391523
Rc,458463264662601984,3.116692543029785,False,False,0.0,0.04586189741644295,0.04586189741644295
Rc,458532293374182656,3.0636978149414062,False,False,0.0,0.054995282972035424,0.054995282972035424
