source_id,ra,dec,phot_g_mean_mag,bp_rp,x,y,blended,must
1424666116946228224,243.5712507339401,51.68488781913081,10.537199,0.8762579,534.8622238787364,156.65649629424092,False,True
1403169152794208768,237.69247965725123,49.44318407103554,10.556852,1.1246576,1908.911550467386,987.0662988526037,False,True
1399943151318356224,239.67950307529458,48.63258694798252,11.025291,1.1409369,1437.137193195368,1297.880902437425,False,True
1403208735212895744,237.88774938561244,49.73707457884874,11.092915,0.6857271,1858.1505538272422,880.1701670531542,False,True
1400617014507591936,242.10752758479305,51.10040799574185,11.184818,0.98164177,864.4631624353842,383.23706950181867,True,True
1399186373784843520,243.8636296681137,48.42671858803981,11.250993,0.6128168,416.3016606267562,1356.3234133747385,True,True
1400400685594512896,241.21803311320014,49.76530384546463,11.391095,0.7978821,1066.1271123441484,879.5089249665898,False,True
1404570235549916928,239.1146033421106,51.54371123870677,11.886537,1.2101803,1552.6130711063865,220.5520790604616,False,True
1404578486182943232,238.80761839855984,51.54748251648899,12.232422,0.6921959,1622.8626596082297,217.67256169543407,True,True
1424642443086159104,242.81194740644958,51.337771947056304,12.502976,1.1796789,704.309758238627,291.24112513811707,False,True
1423496374012443648,243.70760983799497,49.58774725783535,12.54987,0.6077404,471.9934892749326,929.3094120153883,False,True
1400555510575816960,241.35345890614462,50.32690777353782,12.753718,0.9409771,1035.9250591751606,671.7920005741636,True,True
1400052140408557568,239.78836087308022,49.42137488438559,12.785639,1.0639,1407.326710805555,1006.6742258035368,False,True
1399478779454418304,243.12091868309517,49.29034533997952,12.837129,1.0004511,608.2337903326436,1044.5932810824058,False,True
1400397902455707776,241.07177121788254,49.78371380476417,12.958022,0.7764015,1100.919225426545,873.0219071151287,False,True
1403235810686680576,237.41459272120025,49.72561922325378,13.032746,1.2495251,1970.9495334783646,880.1498983887856,True,True
1403309031288657024,238.7045311695459,50.11921580932677,13.445561,0.99053,1660.1413695942126,744.6849693015714,True,True
1404129954158390272,237.05568160294678,50.95444530303618,8.1514845,1.0472617,2034.604867164372,422.5938929674649,False,True
1403162624443914240,237.62400707982238,49.24825325513136,9.053879,0.7797222,1928.2188880563397,1058.4700787218367,False,True
1403664860739877504,240.74265799707896,51.19454979312154,9.915773,1.5057096,1179.798680107873,352.4634822620536,True,True
1424347327292816128,243.30697290572033,50.44214310629883,10.59949,1.3843203,578.766868385675,617.8387435012444,False,True
1423159438121916928,244.38936560648938,48.61333274436333,10.6693325,1.4845142,291.38972321946846,1281.2195149587076,False,True
1427681768103141632,242.81681472641367,51.79066504989252,10.909742,0.81428146,708.0601427084639,123.95501954584574,False,True
1403392525452934656,238.27964095200085,50.60124898005241,10.910996,0.7713232,1754.8014252836992,563.9694156400758,False,True
1399374940029099008,242.5090611012146,48.47486933140904,10.999986,0.7920103,747.4934604343223,1350.3869797279383,False,True
1403201554027480832,238.01025195656948,49.66557251326093,11.097606,1.5753784,1829.9279938093441,907.5664805838462,True,True
1411172016896259072,245.22481127886593,48.76819119008527,11.428245,1.0664673,91.6668579364217,1212.420219433086,True,True
1399399271019776512,243.71905564811507,48.87729634880181,11.5592375,0.7248659,458.4587996338689,1191.457111094931,True,True
1423234655885798912,244.25698007565632,48.98769812658929,11.604487,1.3887548,330.2853634839016,1144.6364813774703,True,True
1403842638025581952,239.69112413928647,51.661805398365345,11.693713,0.8245554,1420.0821635553705,178.90631202831895,True,True
1403293706845331968,238.35524789700645,49.752893978029014,11.759143,0.8015604,1746.7246255321415,877.826847966855,False,True
1399949851467346432,239.7543514388832,48.868305157077366,11.797891,0.80844975,1417.893306991598,1210.9399622597307,False,True
