frame,mjd,source_id,flux_net,flux_net_small,bkg
proc_V842_Her_Light_001.fits,61160.8951534838,1403815356393317120,45573.178104083636,35068.841768622326,3834.302490234375
proc_V842_Her_Light_001.fits,61160.8951534838,1423562069833007360,45316.315002279356,34965.14222827922,3999.76806640625
proc_V842_Her_Light_001.fits,61160.8951534838,1423583853906680192,48868.27235687961,35221.16130797975,3981.5399169921875
proc_V842_Her_Light_001.fits,61160.8951534838,1404567078749798016,42364.163836489664,30614.477127542777,3810.934326171875
proc_V842_Her_Light_001.fits,61160.8951534838,1403169152794208768,34919.26175302634,7725.619376222967,3996.563720703125
proc_V842_Her_Light_001.fits,61160.8951534838,1424414706739915264,44216.67097127868,26238.431821970575,3927.2725830078125
proc_V842_Her_Light_001.fits,61160.8951534838,1400574064834567040,34821.01198782964,25187.64763862967,3953.40771484375
proc_V842_Her_Light_001.fits,61160.8951534838,1399341924616775040,42298.182257408975,21353.20760572946,4142.36669921875
proc_V842_Her_Light_001.fits,61160.8951534838,1400107768825819776,42490.53071823192,21865.344717170636,4077.81982421875
proc_V842_Her_Light_001.fits,61160.8951534838,1402935025536836224,31248.304644533142,4221.974659143132,4053.00732421875
proc_V842_Her_Light_001.fits,61160.8951534838,1424347327292816128,40051.9611133209,28441.8746396958,3960.7158203125
proc_V842_Her_Light_001.fits,61160.8951534838,1424685049161764736,41364.17723990657,25275.430813132596,3875.12109375
proc_V842_Her_Light_001.fits,61160.8951534838,1404169364777955840,38033.90880230401,20854.923631635844,3843.891357421875
proc_V842_Her_Light_001.fits,61160.8951534838,1423504723428898816,40775.2542690463,31046.21175432786,4004.1761474609375
proc_V842_Her_Light_001.fits,61160.8951534838,1400097598342825984,46675.53130577918,18055.594825700944,4107.23876953125
proc_V842_Her_Light_001.fits,61160.8951534838,1400597120219035520,42847.528653148795,34180.95041621942,3935.799072265625
proc_V842_Her_Light_001.fits,61160.8951534838,1404576871275637760,38189.85922061285,28201.29513680983,3805.4912109375
proc_V842_Her_Light_001.fits,61160.8951534838,1423159438121916928,33756.45393326518,25382.954760651643,4109.220703125
proc_V842_Her_Light_001.fits,61160.8951534838,1423368968102824320,34443.33889788843,23099.34159903573,4023.0498046875
proc_V842_Her_Light_001.fits,61160.8951534838,1403023948540021120,40536.40003817924,17414.11426896199,4036.5408935546875
proc_V842_Her_Light_001.fits,61160.8951534838,1400347290561017472,36947.42215919221,16686.29950856608,4063.083984375
proc_V842_Her_Light_001.fits,61160.8951534838,1402914650211952640,25036.603541358607,1772.2650430243375,4081.91845703125
proc_V842_Her_Light_001.fits,61160.8951534838,1423564097057105536,38864.24405063194,28849.52154967886,3995.425048828125
