frame,mjd,source_id,flux_sep_small,flux_sep_big
proc_V842_Her_Light_007.fits,61160.90355625,1403208735212895744,24039.02159179687,30593.893554687504
proc_V842_Her_Light_007.fits,61160.90355625,1424439136513927424,23772.940332031245,29072.49069335937
proc_V842_Her_Light_007.fits,61160.90355625,1400462361324964096,21215.489355468748,27271.23909179687
proc_V842_Her_Light_007.fits,61160.90355625,1424264893984409344,22936.892324218752,28648.935341796874
proc_V842_Her_Light_007.fits,61160.90355625,1400112510469312128,16567.313808593746,22261.463457031252
proc_V842_Her_Light_007.fits,61160.90355625,1403011991350810752,19405.25075195313,25648.774980468745
proc_V842_Her_Light_007.fits,61160.90355625,1402943512392156800,263.78458007812503,872.4137695312502
proc_V842_Her_Light_007.fits,61160.90355625,1399493038745847296,18356.569169921877,24892.7961328125
proc_V842_Her_Light_007.fits,61160.90355625,1423369346059948288,20944.19107421875,25031.860302734374
proc_V842_Her_Light_007.fits,61160.90355625,1403751000603233280,20443.707666015624,26545.198935546876
proc_V842_Her_Light_007.fits,61160.90355625,1399905561764598784,22820.891757812497,28551.47874023437
proc_V842_Her_Light_007.fits,61160.90355625,1403345280812717440,21572.236699218756,29112.492812500004
proc_V842_Her_Light_007.fits,61160.90355625,1400522593946506496,16768.47599609375,22225.45361328125
proc_V842_Her_Light_007.fits,61160.90355625,1403025254209708672,21088.639755859374,26628.159960937493
proc_V842_Her_Light_007.fits,61160.90355625,1427672078656948096,16322.179628906253,23065.4645703125
proc_V842_Her_Light_007.fits,61160.90355625,1399993797572747392,17140.04431640625,23204.503613281253
proc_V842_Her_Light_007.fits,61160.90355625,1404241932545422208,17243.819521484376,22421.138085937502
proc_V842_Her_Light_007.fits,61160.90355625,1400249945127051648,21165.118496093753,25969.968476562502
proc_V842_Her_Light_007.fits,61160.90355625,1403048275234807552,15133.806572265627,23619.37924804688
proc_V842_Her_Light_007.fits,61160.90355625,1424613202948824320,21051.437910156248,25933.29531250001
proc_V842_Her_Light_007.fits,61160.90355625,1411167000374445824,17789.351035156247,22378.195126953124
proc_V842_Her_Light_007.fits,61160.90355625,1399751011661527040,20328.962373046874,24730.40357421875
proc_V842_Her_Light_007.fits,61160.90355625,1403832295744299776,15907.321962890626,22132.914755859365
proc_V842_Her_Light_007.fits,61160.90355625,1427685753832960256,22017.897236328132,28694.40413085938
proc_V842_Her_Light_007.fits,61160.90355625,1399424628507090944,20496.459033203126,25610.836865234378
proc_V842_Her_Light_007.fits,61160.90355625,1399373054539345280,20445.741591796876,25496.697705078128
proc_V842_Her_Light_007.fits,61160.90355625,1400194007472014336,20162.457949218755,24130.823710937497
proc_V842_Her_Light_007.fits,61160.90355625,1403181694098728704,20498.63323242188,26462.019033203127
proc_V842_Her_Light_007.fits,61160.90355625,1423562649652275456,17828.781787109376,22823.44340820313
proc_V842_Her_Light_007.fits,61160.90355625,1400220365687618048,15472.936191406248,21153.501943359377
proc_V842_Her_Light_007.fits,61160.90355625,1404609890983857024,17827.526806640624,23347.275253906242
proc_V842_Her_Light_007.fits,61160.90355625,1424640622020039552,16635.2252734375,22206.305390625002
proc_V842_Her_Light_007.fits,61160.90355625,1403739627529865216,19754.760214843755,24197.85553710938
proc_V842_Her_Light_007.fits,61160.90355625,1423688891626995712,19619.42618164062,24575.873710937492
proc_V842_Her_Light_007.fits,61160.90355625,1400341926146484864,19518.52381835938,24890.799287109377
proc_V842_Her_Light_007.fits,61160.90355625,1403451796001873280,15473.236337890627,20784.925458984373
proc_V842_Her_Light_007.fits,61160.90355625,1400039697887005568,18084.47650390625,22750.05341796875
proc_V842_Her_Light_007.fits,61160.90355625,1403042498502302208,16726.0190234375,21777.723955078123
proc_V842_Her_Light_007.fits,61160.90355625,1411160776965621760,18077.237919921878,22873.56991210938
proc_V842_Her_Light_007.fits,61160.90355625,1399408513789404544,18757.171748046876,23824.98759765625
proc_V842_Her_Light_007.fits,61160.90355625,1403426919551111936,17515.00962890625,22230.708574218752
proc_V842_Her_Light_007.fits,61160.90355625,1427645587298659200,12911.311533203127,18290.0300390625
proc_V842_Her_Light_007.fits,61160.90355625,1400435487713267072,17391.25897460938,22461.849560546867
proc_V842_Her_Light_007.fits,61160.90355625,1424338737358227712,18769.88755859375,23077.094374999993
proc_V842_Her_Light_007.fits,61160.90355625,1403108336057511424,14967.151064453128,20481.545244140616
proc_V842_Her_Light_007.fits,61160.90355625,1402952926960836608,16122.688466796877,21184.076318359377
proc_V842_Her_Light_007.fits,61160.90355625,1404185685653637376,16692.860205078126,20920.150976562505
proc_V842_Her_Light_007.fits,61160.90355625,1403170488527945216,17496.74586914063,21378.805927734367
proc_V842_Her_Light_007.fits,61160.90355625,1400430849149376896,16623.753320312506,22033.41516601563
proc_V842_Her_Light_007.fits,61160.90355625,1400400685594512896,16983.574892578123,21310.541162109377
proc_V842_Her_Light_007.fits,61160.90355625,1404181729987529600,13460.285986328126,18521.80541015625
proc_V842_Her_Light_007.fits,61160.90355625,1424602757588299520,17147.35857421875,21982.67256835937
proc_V842_Her_Light_007.fits,61160.90355625,1403360639615777408,14012.084179687497,19069.528310546877
proc_V842_Her_Light_007.fits,61160.90355625,1400530565405803136,16679.937871093753,22093.60516601562
proc_V842_Her_Light_007.fits,61160.90355625,1424604372496000128,17397.102949218755,21299.688525390622
proc_V842_Her_Light_007.fits,61160.90355625,1399974689262018176,14799.8247265625,20447.960537109368
proc_V842_Her_Light_007.fits,61160.90355625,1399977609839792512,11861.5632421875,17027.916845703123
proc_V842_Her_Light_007.fits,61160.90355625,1400132232959092352,15980.414648437498,20619.89625
proc_V842_Her_Light_007.fits,61160.90355625,1424443740718913536,17874.26422851563,21631.49396484375
proc_V842_Her_Light_007.fits,61160.90355625,1403686468718694144,16643.6484375,21910.1101953125
proc_V842_Her_Light_007.fits,61160.90355625,1400091344870496384,16489.796015625,21107.731845703125
proc_V842_Her_Light_007.fits,61160.90355625,1403057621083269888,15445.335820312503,21161.593623046883
proc_V842_Her_Light_007.fits,61160.90355625,1403493573147504896,12703.505576171876,18081.19723632813
proc_V842_Her_Light_007.fits,61160.90355625,1424518541869422208,18355.132539062502,28562.232939453126
proc_V842_Her_Light_007.fits,61160.90355625,1403164411150305664,14052.10427734375,18955.5097265625
proc_V842_Her_Light_007.fits,61160.90355625,1400163019283469824,15971.729716796872,20918.131240234376
proc_V842_Her_Light_007.fits,61160.90355625,1423499157151237504,15799.439150390626,20237.43163085938
proc_V842_Her_Light_007.fits,61160.90355625,1401458931176968064,12964.07150390625,16909.472236328125
proc_V842_Her_Light_007.fits,61160.90355625,1423471944238483456,15373.742675781252,19766.23653320313
