frame,mjd,source_id,psf_flux
proc_V842_Her_Light_001.fits,61160.8951534838,1403251478727403776,2584.6795723338073
proc_V842_Her_Light_001.fits,61160.8951534838,1424558089928336896,17882.985871406996
proc_V842_Her_Light_001.fits,61160.8951534838,1402941931844190720,932.9908297242355
proc_V842_Her_Light_001.fits,61160.8951534838,1424628248217961216,15389.524792240101
proc_V842_Her_Light_001.fits,61160.8951534838,1423495132765749760,16284.911442374783
proc_V842_Her_Light_001.fits,61160.8951534838,1403586142579202560,10601.055815824651
proc_V842_Her_Light_001.fits,61160.8951534838,1424690546719292416,7980.949213919074
proc_V842_Her_Light_001.fits,61160.8951534838,1400078253810532096,5057.238734871646
proc_V842_Her_Light_001.fits,61160.8951534838,1402927535113873408,828.3860516400713
proc_V842_Her_Light_001.fits,61160.8951534838,1403104144169094656,3037.5993569398383
proc_V842_Her_Light_001.fits,61160.8951534838,1403779553545892096,65818.39601863574
proc_V842_Her_Light_001.fits,61160.8951534838,1403083906283092224,7192.223347357038
proc_V842_Her_Light_001.fits,61160.8951534838,1423266198125187584,179592.1338844268
proc_V842_Her_Light_001.fits,61160.8951534838,1404592848553588736,56765.43224732244
proc_V842_Her_Light_001.fits,61160.8951534838,1423369346059948288,17624.478610644728
proc_V842_Her_Light_001.fits,61160.8951534838,1400014344696299776,2779.795147309088
proc_V842_Her_Light_001.fits,61160.8951534838,1424637113030459648,11522.2480390999
proc_V842_Her_Light_001.fits,61160.8951534838,1400270084229050880,21907.4882792785
proc_V842_Her_Light_001.fits,61160.8951534838,1400426760340511744,8763.332290042064
proc_V842_Her_Light_001.fits,61160.8951534838,1400475722967459328,13020.612680247408
proc_V842_Her_Light_001.fits,61160.8951534838,1424548396186014976,12965.8021118858
proc_V842_Her_Light_001.fits,61160.8951534838,1399948060464787200,1591.486195436933
proc_V842_Her_Light_001.fits,61160.8951534838,1400205311825954560,8221.337104328972
proc_V842_Her_Light_001.fits,61160.8951534838,1400419514731096576,6375.732776357412
proc_V842_Her_Light_001.fits,61160.8951534838,1423481015209453824,6194.420191930816
proc_V842_Her_Light_001.fits,61160.8951534838,1403456331487294976,5463.175247329349
proc_V842_Her_Light_001.fits,61160.8951534838,1423456482356212224,7936.0370907582965
proc_V842_Her_Light_001.fits,61160.8951534838,1403757735112027904,4640.3651552265355
proc_V842_Her_Light_001.fits,61160.8951534838,1400180405312365568,3282.9986601439814
proc_V842_Her_Light_001.fits,61160.8951534838,1423348627137794816,6394.132393510105
proc_V842_Her_Light_001.fits,61160.8951534838,1404275605089071616,13683.26217075367
proc_V842_Her_Light_001.fits,61160.8951534838,1403719630162112512,216278.927445201
proc_V842_Her_Light_001.fits,61160.8951534838,1424610110572298240,91892.10389551012
proc_V842_Her_Light_001.fits,61160.8951534838,1400175388790551296,34234.50179578424
proc_V842_Her_Light_001.fits,61160.8951534838,1400111514036900864,15657.515934151856
proc_V842_Her_Light_001.fits,61160.8951534838,1403763988584783232,33079.35556333469
proc_V842_Her_Light_001.fits,61160.8951534838,1403048275234807552,9967.783343421712
proc_V842_Her_Light_001.fits,61160.8951534838,1403181694098728704,2662.4414338954207
proc_V842_Her_Light_001.fits,61160.8951534838,1403426919551111936,31975.796165166037
proc_V842_Her_Light_001.fits,61160.8951534838,1400003688881198080,6466.54728958221
proc_V842_Her_Light_001.fits,61160.8951534838,1403080362933972480,19669.482846157924
